payment_id,order_id,customer_reference,amount_paid,currency,payment_method,payment_date,status,gateway_reference
PAY36508,ORD0026,CUST0031,9999.0,INR,NETBANKING,2026-08-26 13:13:00,PENDING,GW15980511
PAY72830,ORD0027,CUST0053,147.51,USD,UPI,2026-08-23 17:17:00,SUCCESS,GW58100864
PAY62112,ORD0028,CUST0065,99.0,USD,NETBANKING,2026-08-01 12:40:00,PENDING,GW61125269
PAY13691,ORD0029,CUST0056,200.99,USD,CARD,2026-08-28 22:03:00,SUCCESS,GW94871884
PAY93130,ORD0030,CUST0063,999.0,INR,WALLET,2026-08-05 18:05:00,SUCCESS,GW67378135
PAY20378,ORD0031,CUST0058,4999.0,INR,NETBANKING,2026-08-09 23:20:00,SUCCESS,GW27918336
PAY24278,ORD0032,CUST0070,0.0,INR,WALLET,2026-08-24 15:27:00,FAILED,GW83593160
PAY73222,ORD0033,CUST0048,999.0,INR,WALLET,2026-08-04 15:19:00,SUCCESS,GW66129469
PAY88002,ORD0034,CUST0023,0.0,INR,WALLET,2026-08-27 19:16:00,FAILED,GW64676298
PAY28967,ORD0035,CUST0052,0.0,USD,NETBANKING,2026-08-10 12:01:00,FAILED,GW29268033
PAY20298,ORD0036,CUST0060,2499.0,INR,WALLET,2026-08-21 10:39:00,PENDING,GW72720440
PAY56814,ORD0037,CUST0042,197.01,USD,UPI,2026-08-10 12:26:00,SUCCESS,GW35234079
PAY51551,ORD0038,CUST0010,0.0,INR,WALLET,2026-08-06 20:45:00,FAILED,GW20070390
PAY43106,ORD0039,CUST0012,296.01,INR,CARD,2026-08-06 14:59:00,SUCCESS,GW20497582
PAY79318,ORD0040,CUST0065,0.0,INR,UPI,2026-08-17 11:09:00,FAILED,GW11559709
PAY72752,ORD0041,CUST0029,1499.0,INR,WALLET,2026-08-17 10:57:00,SUCCESS,GW26086137
PAY36629,ORD0042,CUST0021,2474.01,USD,CARD,2026-08-09 23:06:00,SUCCESS,GW96608470
PAY13358,ORD0043,CUST0019,200.99,INR,NETBANKING,2026-08-22 15:53:00,SUCCESS,GW72738014
PAY75845,ORD0044,CUST0069,799.0,USD,NETBANKING,2026-08-14 20:16:00,SUCCESS,GW88066767
PAY94770,ORD0045,CUST0052,9999.0,USD,WALLET,2026-08-22 13:33:00,SUCCESS,GW37398584
PAY14224,ORD0046,CUST0056,4999.0,INR,UPI,2026-08-19 15:39:00,SUCCESS,GW13717984
PAY44447,ORD0047,CUST0010,99.0,INR,WALLET,2026-08-29 21:31:00,PENDING,GW61935265
PAY34418,ORD0048,CUST0055,799.0,USD,CARD,2026-08-19 12:33:00,SUCCESS,GW70761989
PAY76720,ORD0049,CUST0006,0.0,INR,WALLET,2026-08-19 15:07:00,FAILED,GW84457542
PAY62688,ORD0050,CUST0030,24999.0,INR,CARD,2026-08-30 17:59:00,SUCCESS,GW35372335
PAY49134,ORD0051,CUST0062,24749.01,INR,WALLET,2026-08-18 13:49:00,SUCCESS,GW50467706
PAY62655,ORD0052,CUST0011,0.0,INR,UPI,2026-08-29 21:39:00,FAILED,GW28274587
PAY25667,ORD0053,CUST0040,0.0,INR,CARD,2026-08-31 17:26:00,FAILED,GW67244726
PAY31400,ORD0054,CUST0026,7499.0,INR,NETBANKING,2026-08-02 11:56:00,SUCCESS,GW12629828
PAY86150,ORD0055,CUST0037,299.0,INR,CARD,2026-08-26 13:11:00,PENDING,GW79921235
PAY35920,ORD0056,CUST0034,149.0,USD,UPI,2026-08-14 12:00:00,SUCCESS,GW96879707
PAY38216,ORD0057,CUST0055,5048.99,INR,CARD,2026-08-18 20:35:00,SUCCESS,GW53644164
PAY54308,ORD0058,CUST0027,0.0,USD,CARD,2026-08-12 20:59:00,FAILED,GW74749862
PAY11722,ORD0059,CUST0046,791.01,INR,UPI,2026-08-14 17:21:00,SUCCESS,GW84428189
PAY49675,ORD0060,CUST0034,199.0,INR,NETBANKING,2026-08-19 15:14:00,SUCCESS,GW49201943
PAY11538,ORD0061,CUST0029,0.0,INR,CARD,2026-08-20 20:01:00,FAILED,GW95652005
PAY70698,ORD0062,CUST0048,2499.0,USD,UPI,2026-08-19 16:04:00,SUCCESS,GW13578877
PAY64824,ORD0063,CUST0008,98.01,INR,NETBANKING,2026-08-06 18:52:00,SUCCESS,GW27233515
PAY69093,ORD0064,CUST0059,499.0,INR,WALLET,2026-08-04 17:51:00,SUCCESS,GW33241072
PAY12974,ORD0065,CUST0069,1999.0,INR,UPI,2026-08-19 16:48:00,PENDING,GW95438217
PAY33121,ORD0066,CUST0024,791.01,INR,WALLET,2026-08-18 21:11:00,SUCCESS,GW69061385
PAY84289,ORD0067,CUST0009,494.01,INR,CARD,2026-08-13 14:59:00,SUCCESS,GW23474628
PAY83306,ORD0068,CUST0028,4999.0,USD,NETBANKING,2026-08-01 21:30:00,SUCCESS,GW19313035
PAY48620,ORD0069,CUST0031,0.0,INR,UPI,2026-08-23 18:52:00,FAILED,GW90899839
PAY35878,ORD0070,CUST0017,999.0,INR,UPI,2026-08-22 20:40:00,PENDING,GW49931609
PAY91819,ORD0071,CUST0028,3499.0,INR,UPI,2026-08-07 19:24:00,SUCCESS,GW43991539
PAY76810,ORD0072,CUST0052,2499.0,INR,NETBANKING,2026-08-09 17:06:00,PENDING,GW39453763
PAY12970,ORD0073,CUST0020,1999.0,USD,CARD,2026-08-24 18:23:00,SUCCESS,GW96404493
PAY72482,ORD0074,CUST0006,147.51,INR,UPI,2026-08-23 21:03:00,SUCCESS,GW31276429
PAY50293,ORD0075,CUST0011,7424.01,INR,WALLET,2026-08-23 19:27:00,SUCCESS,GW36998640
PAY17423,ORD0076,CUST0003,0.0,INR,CARD,2026-08-31 13:58:00,FAILED,GW52625609
PAY68486,ORD0077,CUST0032,49.0,INR,WALLET,2026-08-09 17:55:00,SUCCESS,GW84477649
PAY36422,ORD0078,CUST0015,14999.0,INR,WALLET,2026-08-31 17:51:00,SUCCESS,GW47798636
PAY81015,ORD0079,CUST0017,799.0,USD,WALLET,2026-08-22 23:46:00,SUCCESS,GW42404302
PAY60649,ORD0080,CUST0060,7499.0,INR,WALLET,2026-08-05 13:02:00,PENDING,GW60942235
PAY82010,ORD0081,CUST0038,299.0,INR,UPI,2026-08-09 12:39:00,PENDING,GW11412618
PAY28559,ORD0082,CUST0023,999.0,INR,CARD,2026-08-11 17:06:00,SUCCESS,GW80614414
PAY54125,ORD0083,CUST0054,0.0,INR,CARD,2026-08-24 22:24:00,FAILED,GW40774735
PAY88861,ORD0084,CUST0029,7499.0,INR,CARD,2026-08-26 19:51:00,SUCCESS,GW35336959
PAY11816,ORD0085,CUST0049,49.0,USD,UPI,2026-08-04 20:09:00,PENDING,GW95287183
PAY87678,ORD0086,CUST0002,0.0,INR,NETBANKING,2026-08-24 11:53:00,FAILED,GW96807065
PAY91451,ORD0087,CUST0059,799.0,INR,UPI,2026-08-18 21:57:00,PENDING,GW54176517
PAY43014,ORD0088,CUST0028,7499.0,INR,CARD,2026-08-01 14:08:00,SUCCESS,GW99763207
PAY46367,ORD0089,CUST0023,49.0,INR,WALLET,2026-08-02 13:10:00,SUCCESS,GW79107217
PAY74735,ORD0090,CUST0004,24999.0,INR,NETBANKING,2026-08-27 20:54:00,SUCCESS,GW58996007
PAY17748,ORD0091,CUST0067,9999.0,INR,NETBANKING,2026-08-20 18:04:00,SUCCESS,GW64569467
PAY46655,ORD0092,CUST0006,1008.99,INR,NETBANKING,2026-08-09 14:41:00,SUCCESS,GW35875514
PAY97053,ORD0093,CUST0025,499.0,INR,NETBANKING,2026-08-07 22:44:00,SUCCESS,GW98847385
PAY78389,ORD0094,CUST0010,199.0,INR,NETBANKING,2026-08-16 20:49:00,SUCCESS,GW47689732
PAY74338,ORD0095,CUST0038,499.0,INR,UPI,2026-08-04 23:27:00,SUCCESS,GW38830877
PAY40540,ORD0096,CUST0026,25248.99,USD,UPI,2026-08-03 21:38:00,SUCCESS,GW26506394
PAY77533,ORD0097,CUST0064,499.0,INR,CARD,2026-08-26 12:36:00,SUCCESS,GW68717103
PAY34269,ORD0098,CUST0056,3499.0,INR,UPI,2026-08-10 13:47:00,PENDING,GW92790735
PAY97198,ORD0099,CUST0027,0.0,INR,NETBANKING,2026-08-27 14:44:00,FAILED,GW32937696
PAY48319,ORD0100,CUST0007,799.0,INR,UPI,2026-08-17 17:31:00,SUCCESS,GW94248278
