bank_transaction_id,account_reference,transaction_date,value_date,transaction_type,description,reference_number,credit_amount,debit_amount,currency,balance_after_transaction,bank_branch,transaction_status
BTX100027,AC1019,2026-08-04,2026-08-06,UPI,Cash withdrawal,REF21003626,70634.31,0.0,INR,212516.33,PUNE05,REVERSED
BTX100043,AC1011,2026-08-17,2026-08-18,BANK_TRANSFER,Subscription debit,REF84411983,0.0,23369.03,INR,68007.46,HYD04,PENDING
BTX100070,AC1007,2026-08-10,2026-08-11,UPI,Transfer,REF34850391,19042.42,0.0,INR,99812.78,HYD04,POSTED
BTX100016,AC1005,2026-08-25,2026-08-26,ATM,Vendor payment,REF45575298,40069.79,0.0,INR,266198.52,PUNE05,PENDING
BTX100041,AC1013,2026-08-20,2026-08-22,IMPS,Subscription debit,REF15957459,73821.63,0.0,INR,355848.72,DELHI01,REVERSED
BTX100097,AC1002,2026-08-06,2026-08-07,UPI,Subscription debit,REF58112135,52126.59,0.0,INR,190546.34,MUMBAI02,POSTED
BTX100010,AC1012,2026-08-24,2026-08-24,IMPS,Transfer,REF76238574,0.0,43947.8,INR,50000.16,DELHI01,POSTED
BTX100073,AC1016,2026-08-28,2026-08-29,CARD,Invoice payment,REF34744872,1166.84,0.0,INR,482921.33,BLR03,PENDING
BTX100012,AC1004,2026-08-18,2026-08-20,NEFT,Invoice payment,REF24972279,64593.28,0.0,INR,150282.56,MUMBAI02,PENDING
BTX100048,AC1004,2026-08-13,2026-08-14,IMPS,Vendor payment,REF79519112,18487.84,0.0,INR,234952.19,PUNE05,POSTED
BTX100086,AC1015,2026-08-12,2026-08-12,IMPS,Subscription debit,REF83715012,0.0,46791.88,INR,69851.55,BLR03,PENDING
BTX100029,AC1001,2026-08-11,2026-08-12,ATM,Cash withdrawal,REF23419256,69694.12,0.0,INR,41264.06,MUMBAI02,REVERSED
BTX100094,AC1001,2026-08-04,2026-08-04,CARD,Vendor payment,REF20043277,0.0,39564.84,INR,237397.85,BLR03,POSTED
BTX100006,AC1013,2026-08-03,2026-08-04,CARD,Invoice payment,REF31831063,64185.0,0.0,INR,188239.58,MUMBAI02,POSTED
BTX100067,AC1018,2026-08-09,2026-08-09,ATM,Refund,REF21490777,66053.92,0.0,INR,124471.24,HYD04,PENDING
BTX100066,AC1001,2026-08-20,2026-08-21,NEFT,Vendor payment,REF75437844,50197.09,0.0,INR,109999.33,BLR03,POSTED
BTX100036,AC1020,2026-08-12,2026-08-12,IMPS,Vendor payment,REF33763566,0.0,58563.69,INR,441301.02,DELHI01,POSTED
BTX100017,AC1010,2026-08-31,2026-09-01,BANK_TRANSFER,Invoice payment,REF68800797,16081.92,0.0,INR,450308.97,HYD04,POSTED
BTX100050,AC1018,2026-08-27,2026-08-28,IMPS,Platform payout,REF70407340,0.0,54015.73,INR,133299.82,MUMBAI02,POSTED
BTX100035,AC1002,2026-08-18,2026-08-19,NEFT,Merchant settlement,REF58024342,11320.01,0.0,INR,108987.89,MUMBAI02,POSTED
BTX100008,AC1008,2026-08-08,2026-08-08,NEFT,Utility payment,REF45935572,51424.92,0.0,INR,37763.36,PUNE05,POSTED
BTX100096,AC1010,2026-08-02,2026-08-02,BANK_TRANSFER,Customer payment,REF68246664,46405.09,0.0,INR,489277.18,DELHI01,PENDING
BTX100028,AC1007,2026-08-17,2026-08-18,IMPS,Subscription debit,REF63121477,23898.65,0.0,INR,69784.75,BLR03,PENDING
BTX100020,AC1008,2026-08-05,2026-08-06,CARD,Refund,REF22660194,0.0,54320.6,INR,52980.75,HYD04,POSTED
BTX100082,AC1009,2026-08-01,2026-08-03,UPI,Vendor payment,REF73149551,7076.68,0.0,INR,261887.1,HYD04,POSTED
BTX100026,AC1002,2026-08-30,2026-09-01,UPI,Vendor payment,REF19196777,63990.81,0.0,INR,299542.38,MUMBAI02,PENDING
BTX100063,AC1003,2026-08-12,2026-08-14,BANK_TRANSFER,Invoice payment,REF11698142,40072.71,0.0,INR,425539.94,HYD04,POSTED
BTX100014,AC1018,2026-08-07,2026-08-09,UPI,Cash withdrawal,REF53507489,11674.74,0.0,INR,246859.83,DELHI01,POSTED
BTX100025,AC1019,2026-08-07,2026-08-09,UPI,Invoice payment,REF17672593,22428.91,0.0,INR,29820.46,HYD04,REVERSED
BTX100004,AC1012,2026-08-04,2026-08-05,ATM,Subscription debit,REF15831819,7182.75,0.0,INR,366217.23,PUNE05,POSTED
BTX100018,AC1001,2026-08-08,2026-08-10,ATM,Refund,REF88979095,17046.13,0.0,INR,114007.61,DELHI01,POSTED
BTX100039,AC1012,2026-08-09,2026-08-11,CARD,Transfer,REF54446182,64860.38,0.0,INR,469922.38,DELHI01,POSTED
BTX100009,AC1015,2026-08-07,2026-08-07,NEFT,Vendor payment,REF43101783,0.0,49244.04,INR,373769.55,PUNE05,POSTED
BTX100079,AC1014,2026-08-26,2026-08-26,ATM,Refund,REF96924061,59395.77,0.0,INR,78749.75,BLR03,POSTED
BTX100007,AC1020,2026-08-23,2026-08-23,ATM,Refund,REF31931511,70264.93,0.0,INR,233818.8,BLR03,REVERSED
BTX100065,AC1011,2026-08-15,2026-08-15,UPI,Subscription debit,REF70505620,32809.19,0.0,INR,125712.4,HYD04,REVERSED
BTX100037,AC1008,2026-08-24,2026-08-25,IMPS,Customer payment,REF61343880,0.0,69355.43,INR,436722.56,HYD04,POSTED
BTX100090,AC1009,2026-08-24,2026-08-25,NEFT,Transfer,REF45859307,65979.64,0.0,INR,411171.99,BLR03,POSTED
BTX100057,AC1011,2026-08-06,2026-08-06,CARD,Invoice payment,REF55298556,0.0,4008.78,INR,381808.71,HYD04,POSTED
BTX100100,AC1015,2026-08-22,2026-08-23,ATM,Subscription debit,REF95756900,41108.21,0.0,INR,481204.39,BLR03,PENDING
BTX100055,AC1001,2026-08-08,2026-08-09,NEFT,Utility payment,REF32151928,0.0,20651.91,INR,421050.3,MUMBAI02,REVERSED
BTX100044,AC1020,2026-08-22,2026-08-24,NEFT,Utility payment,REF83542887,56173.06,0.0,INR,417693.96,BLR03,POSTED
BTX100051,AC1008,2026-08-25,2026-08-26,CARD,Customer payment,REF48349783,0.0,58381.19,INR,121074.32,BLR03,POSTED
BTX100068,AC1016,2026-08-18,2026-08-19,UPI,Customer payment,REF49491631,0.0,56922.81,INR,114690.22,MUMBAI02,POSTED
BTX100047,AC1020,2026-08-02,2026-08-02,CARD,Utility payment,REF94525678,0.0,18551.98,INR,289957.1,HYD04,PENDING
BTX100069,AC1018,2026-08-22,2026-08-24,NEFT,Utility payment,REF83871890,0.0,43721.28,INR,168741.69,HYD04,POSTED
BTX100062,AC1004,2026-08-19,2026-08-20,BANK_TRANSFER,Cash withdrawal,REF26247735,51873.43,0.0,INR,399132.47,PUNE05,POSTED
BTX100098,AC1006,2026-08-17,2026-08-17,UPI,Cash withdrawal,REF61344226,31050.87,0.0,INR,311756.63,MUMBAI02,PENDING
BTX100080,AC1020,2026-08-03,2026-08-05,NEFT,Platform payout,REF26690465,4707.94,0.0,INR,237005.5,BLR03,PENDING
BTX100042,AC1012,2026-08-30,2026-08-31,UPI,Invoice payment,REF93638503,60536.69,0.0,INR,160388.24,DELHI01,POSTED
BTX100059,AC1001,2026-08-21,2026-08-21,IMPS,Merchant settlement,REF93394260,5379.22,0.0,INR,80429.26,MUMBAI02,PENDING
BTX100049,AC1005,2026-08-30,2026-08-31,BANK_TRANSFER,Transfer,REF85017682,0.0,63663.14,INR,299748.9,HYD04,REVERSED
BTX100099,AC1015,2026-08-30,2026-08-31,CARD,Subscription debit,REF99501846,43841.0,0.0,INR,9651.73,HYD04,POSTED
BTX100058,AC1009,2026-08-25,2026-08-25,CARD,Merchant settlement,REF82399599,0.0,71352.51,INR,30782.38,BLR03,POSTED
BTX100076,AC1019,2026-08-15,2026-08-16,NEFT,Cash withdrawal,REF93352876,68160.7,0.0,INR,34814.0,DELHI01,POSTED
BTX100033,AC1002,2026-08-21,2026-08-21,NEFT,Vendor payment,REF95511909,31912.29,0.0,INR,489999.99,MUMBAI02,PENDING
BTX100095,AC1011,2026-08-20,2026-08-22,CARD,Invoice payment,REF94127561,52029.67,0.0,INR,360765.13,HYD04,REVERSED
BTX100060,AC1015,2026-08-22,2026-08-23,NEFT,Vendor payment,REF91321540,8800.61,0.0,INR,305587.51,DELHI01,POSTED
BTX100064,AC1005,2026-08-14,2026-08-15,IMPS,Transfer,REF97302916,0.0,72068.87,INR,138690.79,PUNE05,PENDING
BTX100085,AC1017,2026-08-04,2026-08-04,BANK_TRANSFER,Transfer,REF72005415,0.0,72771.31,INR,209557.55,MUMBAI02,REVERSED
BTX100038,AC1012,2026-08-07,2026-08-08,IMPS,Refund,REF13176186,0.0,61289.85,INR,331716.43,HYD04,POSTED
BTX100030,AC1003,2026-08-09,2026-08-09,NEFT,Subscription debit,REF31172421,10151.13,0.0,INR,221901.36,PUNE05,POSTED
BTX100002,AC1017,2026-08-01,2026-08-03,UPI,Transfer,REF36687537,7253.72,0.0,INR,359429.71,PUNE05,PENDING
BTX100053,AC1007,2026-08-18,2026-08-19,CARD,Cash withdrawal,REF12621534,35077.84,0.0,INR,429082.36,PUNE05,PENDING
BTX100022,AC1009,2026-08-15,2026-08-16,IMPS,Customer payment,REF69476001,10728.63,0.0,INR,404971.01,PUNE05,POSTED
BTX100003,AC1001,2026-08-08,2026-08-08,BANK_TRANSFER,Utility payment,REF55667651,33828.38,0.0,INR,142546.31,MUMBAI02,POSTED
BTX100024,AC1009,2026-08-06,2026-08-07,NEFT,Utility payment,REF84593961,0.0,28578.24,INR,332626.3,HYD04,POSTED
BTX100088,AC1015,2026-08-03,2026-08-03,BANK_TRANSFER,Vendor payment,REF76890827,17046.37,0.0,INR,466663.26,BLR03,REVERSED
BTX100092,AC1008,2026-08-15,2026-08-17,CARD,Refund,REF65133300,69980.71,0.0,INR,26605.41,HYD04,PENDING
BTX100075,AC1018,2026-08-03,2026-08-04,ATM,Cash withdrawal,REF93002706,74545.38,0.0,INR,116715.13,PUNE05,PENDING
BTX100087,AC1001,2026-08-29,2026-08-31,IMPS,Vendor payment,REF51708177,52444.19,0.0,INR,277665.31,PUNE05,PENDING
BTX100083,AC1016,2026-08-06,2026-08-06,CARD,Invoice payment,REF64807553,0.0,74771.67,INR,169987.65,DELHI01,POSTED
BTX100021,AC1004,2026-08-14,2026-08-14,CARD,Invoice payment,REF24665841,30979.9,0.0,INR,128084.89,MUMBAI02,REVERSED
BTX100061,AC1010,2026-08-31,2026-09-02,BANK_TRANSFER,Utility payment,REF63238057,23500.16,0.0,INR,471027.95,MUMBAI02,POSTED
BTX100072,AC1018,2026-08-05,2026-08-06,BANK_TRANSFER,Vendor payment,REF95613415,20754.77,0.0,INR,434888.29,HYD04,POSTED
BTX100015,AC1008,2026-08-29,2026-08-29,IMPS,Cash withdrawal,REF20570592,73902.77,0.0,INR,47398.46,HYD04,POSTED
BTX100093,AC1016,2026-08-13,2026-08-13,IMPS,Transfer,REF89212676,74133.95,0.0,INR,169337.38,DELHI01,PENDING
BTX100052,AC1005,2026-08-29,2026-08-29,CARD,Vendor payment,REF38716269,40626.38,0.0,INR,36793.28,HYD04,POSTED
