gateway_transaction_id,gateway_reference,merchant_id,customer_reference,transaction_date,transaction_type,payment_method,transaction_amount,currency,gateway_fee,net_amount,gateway_status
GTX200100,GWREF34696401,MER1002,CUST27875,2026-08-02,CARD,UPI,18551.98,INR,193.11,18358.87,SUCCESS
GTX200040,REF30364454,MER1004,CUST45160,2026-08-04,ATM,CARD,61703.14,INR,413.53,61289.61,SUCCESS
GTX200003,REF13176186,MER1003,CUST27702,2026-08-07,IMPS,NETBANKING,61289.85,INR,994.07,60295.78,REFUNDED
GTX200068,REF93638503,MER1002,CUST17884,2026-08-30,UPI,WALLET,60536.69,INR,1224.89,59311.8,FAILED
GTX200056,REF89212676,MER1003,CUST26166,2026-08-13,IMPS,UPI,74133.95,INR,1005.43,73128.52,FAILED
GTX200050,REF43101783,MER1014,CUST83273,2026-08-07,NEFT,WALLET,49244.04,INR,609.17,48634.87,SUCCESS
GTX200069,REF48349783,MER1003,CUST74647,2026-08-25,CARD,CARD,58391.19,INR,519.05,57872.14,SUCCESS
GTX200081,GWREF78252406,MER1014,CUST22433,2026-08-24,NEFT,NETBANKING,44321.62,INR,874.14,43447.48,REFUNDED
GTX200037,REF63238057,MER1002,CUST45618,2026-08-31,BANK_TRANSFER,CARD,23500.16,INR,213.04,23287.12,SUCCESS
GTX200079,GWREF57363242,MER1009,CUST90558,2026-08-29,CARD,UPI,40626.38,INR,564.73,40061.65,SUCCESS
GTX200097,GWREF19476910,MER1004,CUST36914,2026-08-09,NEFT,NETBANKING,10151.13,INR,137.52,10013.61,FAILED
GTX200026,REF93002706,MER1007,CUST55661,2026-08-03,ATM,UPI,74545.38,INR,1325.61,73219.77,SUCCESS
GTX200047,REF28024248,MER1011,CUST65150,2026-08-20,BANK_TRANSFER,NETBANKING,72686.13,INR,884.84,71801.29,FAILED
GTX200033,REF23419256,MER1003,CUST69603,2026-08-11,ATM,UPI,69694.12,INR,835.69,68858.43,REFUNDED
GTX200074,REF88979095,MER1002,CUST47034,2026-08-08,ATM,NETBANKING,17046.13,INR,157.51,16888.62,SUCCESS
GTX200048,REF91321540,MER1006,CUST35227,2026-08-22,NEFT,CARD,8800.61,INR,111.31,8689.3,SUCCESS
GTX200087,GWREF42097049,MER1004,CUST66531,2026-08-09,ATM,NETBANKING,66053.92,INR,1217.49,64836.43,SUCCESS
GTX200058,REF63121477,MER1009,CUST28553,2026-08-16,IMPS,NETBANKING,23898.65,INR,535.55,23363.1,SUCCESS
GTX200084,GWREF54429444,MER1001,CUST22872,2026-08-07,UPI,CARD,11674.74,INR,109.53,11565.21,FAILED
GTX200018,REF33763566,MER1009,CUST73414,2026-08-12,IMPS,CARD,58553.69,INR,472.83,58080.86,PENDING
GTX200093,GWREF90886820,MER1005,CUST55856,2026-08-30,BANK_TRANSFER,NETBANKING,62708.19,INR,1179.2,61528.99,SUCCESS
GTX200067,REF61343880,MER1015,CUST18883,2026-08-24,IMPS,WALLET,69355.43,INR,910.52,68444.91,FAILED
