settlement_id,payment_reference,merchant_reference,gross_amount,processing_fee,settled_amount,currency,settlement_date,settlement_status,settlement_channel,bank_reference
SET91707,PAY74735,ORD0090,24999.0,587.5,24411.5,INR,2026-08-29 20:54:00,FAILED,BANK_TRANSFER,BANK98808661
SET26947,PAY46367,ORD0089,49.0,0.66,48.34,INR,2026-08-04 13:10:00,SETTLED,BANK_TRANSFER,BANK15126121
SET95437,PAY27307,ORD0002,24999.0,581.4,24417.6,INR,2026-08-10 17:31:00,SETTLED,BANK_TRANSFER,BANK50011472
SET22173,PAY20690,ORD0020,2499.0,22.2,2476.8,USD,2026-08-25 19:38:00,SETTLED,NEFT,BANK26406803
SET54993,PAY88861,ORD0084,7499.0,136.9,7362.1,INR,2026-08-31 19:51:00,SETTLED,IMPS,BANK65622939
SET60010,PAY34269,ORD0098,3499.0,34.39,3464.61,INR,2026-08-11 13:47:00,PENDING,NEFT,BANK11814679
SET77315,PAY63232,ORD0010,0.0,0.0,0.0,USD,2026-08-28 17:44:00,SETTLED,BANK_TRANSFER,BANK40840526
SET30095,PAY20378,ORD0031,4999.0,50.36,4948.64,INR,2026-08-14 23:20:00,PENDING,NEFT,BANK29599579
SET25184,PAY31400,ORD0054,7499.0,158.0,7341.0,INR,2026-08-07 11:56:00,SETTLED,IMPS,BANK56696509
SET22263,PAY78052,ORD0009,299.0,3.42,295.58,INR,2026-08-23 21:25:00,FAILED,NEFT,BANK84274249
SET39995,PAY20958,ORD0019,0.0,0.0,0.0,INR,2026-08-27 15:42:00,SETTLED,BANK_TRANSFER,BANK24890933
SET53553,PAY11816,ORD0085,49.0,0.48,48.52,USD,2026-08-08 20:09:00,SETTLED,BANK_TRANSFER,BANK60770132
SET11294,PAY91451,ORD0087,799.0,12.06,786.94,INR,2026-08-23 21:57:00,SETTLED,IMPS,BANK29694184
SET77877,PAY40540,ORD0096,25248.99,507.56,24741.43,USD,2026-08-05 21:38:00,PENDING,BANK_TRANSFER,BANK55331620
SET36232,PAY62688,ORD0050,24999.0,469.25,24529.75,INR,2026-09-03 17:59:00,PENDING,BANK_TRANSFER,BANK63804680
SET19052,PAY43014,ORD0088,7499.0,120.59,7378.41,INR,2026-08-04 14:08:00,FAILED,BANK_TRANSFER,BANK69681286
SET49102,PAY12538,ORD0021,499.0,4.96,494.04,INR,2026-08-08 15:59:00,FAILED,IMPS,BANK24459657
SET22000,PAY98226,ORD0016,200.99,4.3,196.69,USD,2026-08-07 20:05:00,PENDING,IMPS,BANK63267883
SET89527,PAY74338,ORD0095,499.0,7.11,491.89,INR,2026-08-08 23:27:00,PENDING,NEFT,BANK31346411
SET94419,PAY50293,ORD0075,7424.01,167.53,7256.48,INR,2026-08-24 19:27:00,PENDING,BANK_TRANSFER,BANK35135450
SET31721,PAY91819,ORD0071,3499.0,38.09,3460.91,INR,2026-08-12 19:24:00,SETTLED,IMPS,BANK85948374
SET31730,PAY12974,ORD0065,1999.0,49.63,1949.37,INR,2026-08-21 16:48:00,PENDING,BANK_TRANSFER,BANK30637045
SET23726,PAY58815,ORD0008,503.99,4.44,499.55,INR,2026-08-19 23:30:00,PENDING,BANK_TRANSFER,BANK78827788
SET47295,PAY72752,ORD0041,1499.0,30.18,1468.82,INR,2026-08-20 10:57:00,FAILED,NEFT,BANK91780259
SET84240,PAY38216,ORD0057,5048.99,102.98,4946.01,INR,2026-08-21 20:35:00,SETTLED,NEFT,BANK90783118
SET87091,PAY26000,ORD0007,299.0,3.88,295.12,INR,2026-08-02 23:36:00,PENDING,IMPS,BANK15060593
SET52129,PAY36629,ORD0042,2474.01,20.24,2453.77,USD,2026-08-13 23:06:00,SETTLED,IMPS,BANK61733347
SET81682,PAY97053,ORD0093,499.0,7.42,491.58,INR,2026-08-10 22:44:00,FAILED,BANK_TRANSFER,BANK44154835
SET77591,PAY76810,ORD0072,2499.0,37.86,2461.14,INR,2026-08-11 17:06:00,PENDING,IMPS,BANK87399220
SET34781,PAY84289,ORD0067,494.01,6.16,487.85,INR,2026-08-16 14:59:00,SETTLED,IMPS,BANK19000470
SET91925,PAY33401,ORD0006,2499.0,21.8,2477.2,INR,2026-08-17 22:40:00,PENDING,IMPS,BANK99310209
SET94068,PAY99734,ORD0005,99.0,1.07,97.93,INR,2026-08-08 21:42:00,SETTLED,IMPS,BANK87664190
SET90669,PAY72830,ORD0027,147.51,2.61,144.9,USD,2026-08-27 17:17:00,FAILED,NEFT,BANK98977123
SET82058,PAY48620,ORD0069,0.0,0.0,0.0,INR,2026-08-27 18:52:00,PENDING,NEFT,BANK12636327
SET22023,PAY54125,ORD0083,0.0,0.0,0.0,INR,2026-08-27 22:24:00,SETTLED,NEFT,BANK26227138
SET60030,PAY77533,ORD0097,499.0,6.28,492.72,INR,2026-08-27 12:36:00,FAILED,BANK_TRANSFER,BANK21449449
SET39557,PAY87678,ORD0086,0.0,0.0,0.0,INR,2026-08-26 11:53:00,SETTLED,BANK_TRANSFER,BANK73451671
SET84928,PAY28967,ORD0035,0.0,0.0,0.0,USD,2026-08-15 12:01:00,SETTLED,IMPS,BANK91272381
SET51374,PAY17748,ORD0091,9999.0,248.62,9750.38,INR,2026-08-24 18:04:00,PENDING,NEFT,BANK84956949
SET22940,PAY97198,ORD0099,0.0,0.0,0.0,INR,2026-08-29 14:44:00,FAILED,IMPS,BANK31872741
SET96477,PAY93130,ORD0030,999.0,23.43,975.57,INR,2026-08-10 18:05:00,FAILED,NEFT,BANK93713167
SET79155,PAY37731,ORD0025,0.0,0.0,0.0,USD,2026-08-05 20:03:00,SETTLED,NEFT,BANK70257147
SET83903,PAY34418,ORD0048,799.0,15.11,783.89,USD,2026-08-21 12:33:00,SETTLED,IMPS,BANK62097887
SET65384,PAY11538,ORD0061,0.0,0.0,0.0,INR,2026-08-22 20:01:00,FAILED,BANK_TRANSFER,BANK80097144
SET34301,PAY28559,ORD0082,999.0,24.7,974.3,INR,2026-08-12 17:06:00,SETTLED,BANK_TRANSFER,BANK43310379
SET91275,PAY24278,ORD0032,0.0,0.0,0.0,INR,2026-08-28 15:27:00,PENDING,NEFT,BANK11774088
SET72194,PAY13691,ORD0029,200.99,3.89,197.1,USD,2026-09-01 22:03:00,PENDING,BANK_TRANSFER,BANK57609976
SET14467,PAY44447,ORD0047,99.0,2.03,96.97,INR,2026-09-01 21:31:00,SETTLED,IMPS,BANK69057231
SET33832,PAY86150,ORD0055,299.0,5.75,293.25,INR,2026-08-30 13:11:00,SETTLED,NEFT,BANK41868030
SET67363,PAY41858,ORD0014,1484.01,24.4,1459.61,INR,2026-08-16 15:07:00,PENDING,NEFT,BANK63038612
SET22040,PAY76618,ORD0022,199.0,2.45,196.55,INR,2026-08-25 18:19:00,FAILED,NEFT,BANK93856455
SET64163,PAY76720,ORD0049,0.0,0.0,0.0,INR,2026-08-21 15:07:00,PENDING,IMPS,BANK38313402
SET12717,PAY48111,ORD0015,1499.0,21.72,1477.28,USD,2026-08-29 16:19:00,SETTLED,IMPS,BANK61514983
SET59364,PAY88002,ORD0034,0.0,0.0,0.0,INR,2026-08-29 19:16:00,SETTLED,IMPS,BANK29902434
SET82766,PAY49675,ORD0060,199.0,3.55,195.45,INR,2026-08-20 15:14:00,SETTLED,IMPS,BANK28306465
SET53697,PAY26132,ORD0024,299.0,3.76,295.24,INR,2026-08-24 14:52:00,SETTLED,BANK_TRANSFER,BANK39814326
SET33460,PAY79318,ORD0040,0.0,0.0,0.0,INR,2026-08-20 11:09:00,FAILED,IMPS,BANK28890382
SET80120,PAY72482,ORD0074,147.51,1.48,146.03,INR,2026-08-26 21:03:00,PENDING,BANK_TRANSFER,BANK24291640
SET58858,PAY83306,ORD0068,4999.0,113.21,4885.79,USD,2026-08-06 21:30:00,PENDING,BANK_TRANSFER,BANK56375415
SET65092,PAY11722,ORD0059,791.01,10.81,780.2,INR,2026-08-15 17:21:00,SETTLED,NEFT,BANK38366471
SET16408,PAY13358,ORD0043,200.99,4.06,196.93,INR,2026-08-23 15:53:00,SETTLED,NEFT,BANK93088547
SET17161,PAY12970,ORD0073,1999.0,27.68,1971.32,USD,2026-08-25 18:23:00,PENDING,BANK_TRANSFER,BANK27739317
SET84167,PAY43106,ORD0039,296.01,4.91,291.1,INR,2026-08-07 14:59:00,FAILED,NEFT,BANK92659626
SET55751,PAY94770,ORD0045,9999.0,182.4,9816.6,USD,2026-08-25 13:33:00,PENDING,IMPS,BANK62580442
SET95035,PAY17423,ORD0076,0.0,0.0,0.0,INR,2026-09-01 13:58:00,PENDING,BANK_TRANSFER,BANK93107362
SET21199,PAY70698,ORD0062,2499.0,46.74,2452.26,USD,2026-08-20 16:04:00,PENDING,NEFT,BANK92428536
SET32433,PAY36508,ORD0026,9999.0,210.74,9788.26,INR,2026-08-29 13:13:00,SETTLED,IMPS,BANK18467618
SET75436,PAY68486,ORD0077,49.0,0.76,48.24,INR,2026-08-14 17:55:00,PENDING,IMPS,BANK95335566
SET80963,PAY26700,ORD0023,24999.0,504.48,24494.52,USD,2026-09-01 18:52:00,FAILED,BANK_TRANSFER,BANK78279287
SET76438,PAY69093,ORD0064,499.0,4.12,494.88,INR,2026-08-06 17:51:00,PENDING,NEFT,BANK78148780
SET32622,PAY36422,ORD0078,14999.0,279.37,14719.63,INR,2026-09-01 17:51:00,FAILED,NEFT,BANK47534157
SET34562,PAY14224,ORD0046,4999.0,50.01,4948.99,INR,2026-08-22 15:39:00,FAILED,NEFT,BANK26697554
SET51124,PAY75845,ORD0044,799.0,14.42,784.58,USD,2026-08-16 20:16:00,SETTLED,BANK_TRANSFER,BANK57576439
SET32837,PAY81015,ORD0079,799.0,17.14,781.86,USD,2026-08-26 23:46:00,PENDING,NEFT,BANK53923556
SET51441,PAY69951,ORD0011,499.0,7.44,491.56,INR,2026-08-06 22:48:00,FAILED,IMPS,BANK78702699
SET73361,PAY56814,ORD0037,197.01,2.63,194.38,USD,2026-08-14 12:26:00,PENDING,BANK_TRANSFER,BANK24062541
SET77094,PAY46655,ORD0092,1008.99,10.57,998.42,INR,2026-08-11 14:41:00,SETTLED,IMPS,BANK78507848
SET96588,PAY67959,ORD0017,499.0,7.94,491.06,INR,2026-08-22 18:16:00,SETTLED,NEFT,BANK35309707
SET26096,PAY25667,ORD0053,0.0,0.0,0.0,INR,2026-09-02 17:26:00,PENDING,BANK_TRANSFER,BANK41942617
